Song URL,Song title,Album title,Artist names
https://music.youtube.com/watch?v=D6RQ43wLk0w,008,xoxo,mesq
https://music.youtube.com/watch?v=rZMayAkHHhg,2001 Год,Гигантомания,Крематорий
https://music.youtube.com/watch?v=Vggwx_k2p_M,4573,High Risk Behaviour,The Chats
https://music.youtube.com/watch?v=14eVFQeegxQ,96 Quite Bitter Beings,"Camp Kill Yourself, Vol.1",CKY
https://music.youtube.com/watch?v=p5Wl9RbbnOU,Afterthought,Instrument Soundtrack,Fugazi
https://music.youtube.com/watch?v=U60tA_HwtF4,Ain’t No Thief,Cave World,Viagra Boys
https://music.youtube.com/watch?v=VRhoI7Rxi7g,Anyone Can Dig A Hole But It Takes A Real Man To Call It Home,Lost In The Sound Of Separation,Underoath
https://music.youtube.com/watch?v=umlKCuuLZW0,Arbeiter von Wien,Hymnes et marches de la République Démocratique Allemande,Erich-Weinert-Ensembl
https://music.youtube.com/watch?v=nszMA70_nwA,BLACK SHEEP,BLACK SHEEP,lil darkie
https://music.youtube.com/watch?v=jNB8WxiHarM,Bourée (2001 Remaster),Stand Up,Jethro Tull
https://music.youtube.com/watch?v=sfbntjV0pQM,Catalina,Allah-Las,Allah-Las
https://music.youtube.com/watch?v=ij1IUBWMTHs,Catamaran,Allah-Las,Allah-Las
https://music.youtube.com/watch?v=Sdh_Lny4aP8,Cheap Beer,Fidlar,FIDLAR
https://music.youtube.com/watch?v=WhhnSQqxJOs,chto dlya tebya krasota,chto dlya tebya krasota,maslo chernogo tmina
https://music.youtube.com/watch?v=EGeoKEgUcZU,CLONE,Terra Incognita,Gojira
https://music.youtube.com/watch?v=rsRAnmbcRkQ,"Conform, Consume, Obey.",Singularis EP,Destruction Made Simple
https://music.youtube.com/watch?v=MOGP398_AO4,Constant Headache,S/T,Joyce Manor
https://music.youtube.com/watch?v=lR4ZjMVHCuM,Evil Ways,Santana's Greatest Hits,Santana
https://music.youtube.com/watch?v=YgxjLLIpFmA,Fight Out,Machine of 5,Flomore
https://music.youtube.com/watch?v=scDlyK_-NrI,Got You by the Balls,The Razors Edge,AC/DC
https://music.youtube.com/watch?v=vM0GB5EJlr8,Hell Broke Luce,Bad As Me (Deluxe Edition Remastered),Tom Waits
https://music.youtube.com/watch?v=kxrou-IAfqY,Hero,NEU!,NEU!
https://music.youtube.com/watch?v=X_BpmQqErks,Herr Mannelig,Guds Spelemän,Garmarna
https://music.youtube.com/watch?v=AXa9UoYT8lo,I'm Not Your Stepping Stone,Midnight Ride,Paul Revere & The Raiders
https://music.youtube.com/watch?v=vQGRJn_h9GY,I'm Yer Dad,I'm Yer Dad,GRLwood
https://music.youtube.com/watch?v=dm87PN-fTlg,"it's ok, you're ok","it's ok, you're ok",bonjr
https://music.youtube.com/watch?v=7a7N5jD-2QU,Lightning Rod,Splinter,The Offspring
https://music.youtube.com/watch?v=_oWUgfpGi0M,Lithium,Nevermind,Nirvana
https://music.youtube.com/watch?v=9nPBu3OrZvI,Rational Gaze,Nothing - Rerelease,Meshuggah
https://music.youtube.com/watch?v=SrGSt5eDt9o,Somebody to Love (Mono Single Version),Surrealistic Pillow,Jefferson Airplane
https://music.youtube.com/watch?v=low6Coqrw9Y,The Logical Song,The Very Best of Supertramp,Supertramp
https://music.youtube.com/watch?v=H9rNzbclCtU,The Nile Song,Relics,Pink Floyd
https://music.youtube.com/watch?v=1r08Ca8fk5Y,The Passenger,Lust For Life,Iggy Pop
https://music.youtube.com/watch?v=7mEXKmyFixE,Белая Ночь,Белая Ночь,Черниговская Хата
https://music.youtube.com/watch?v=50ysevZeiLE,Конь,Зона ЛЮБЭ,Любэ
https://music.youtube.com/watch?v=o7BtpFwbgQ0,Тени от пальм,Тени от пальм,Второй Ка
https://music.youtube.com/watch?v=pOt8_es8hzg,Черный пес Петербург (Llive),Чёрный пёс Петербург,ДДТ
https://music.youtube.com/watch?v=pf9TkaUoldQ,Я люблю людей,97<01,Дельфин
https://music.youtube.com/watch?v=eYsF2gs_f_A,Ящик,Ящик,ATL
